"National Marine Fisheries Service
P.O. Box 21668
Juneau AK  99802-1668

"
2015 Prohibited Species Catch Crab (includes CDQ)
Through Date:
December 31 2015

SPECIES,SPECIES NAME,GEAR,REPORTING AREA,TARGET,WEEK,SECTOR,GROUNDFISH (MT),NUMBER OF CRAB,NUMBER OF CRAB/MT GROUNDFISH
BKCR,Blue King Crab,HAL,519,Pacific Cod,2/14/15,Shoreside,C,0,0
BKCR,Blue King Crab,HAL,519,Pacific Cod,2/21/15,Shoreside,C,0,0
BKCR,Blue King Crab,HAL,519,Pacific Cod,2/28/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,519,Pacific Cod,2/28/15,Shoreside,C,0,0
BKCR,Blue King Crab,HAL,519,Pacific Cod,3/7/15,Shoreside,C,0,0
BKCR,Blue King Crab,HAL,519,Pacific Cod,3/7/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,519,Pacific Cod,3/14/15,Shoreside,27.298,0,0
BKCR,Blue King Crab,HAL,519,Pacific Cod,3/14/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,519,Pacific Cod,3/21/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,519,Pacific Cod,3/21/15,Shoreside,14.41,0,0
BKCR,Blue King Crab,HAL,519,Pacific Cod,3/28/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,519,Pacific Cod,3/28/15,Shoreside,C,0,0
BKCR,Blue King Crab,HAL,519,Pacific Cod,4/4/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,519,Pacific Cod,4/11/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,519,Pacific Cod,4/18/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,519,Pacific Cod,4/18/15,Shoreside,C,0,0
BKCR,Blue King Crab,HAL,519,Pacific Cod,4/25/15,Shoreside,C,0,0
BKCR,Blue King Crab,HAL,519,Pacific Cod,5/2/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,519,Pacific Cod,5/2/15,Shoreside,C,0,0
BKCR,Blue King Crab,HAL,519,Pacific Cod,5/9/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,519,Pacific Cod,5/16/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,519,Pacific Cod,5/30/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,519,Pacific Cod,6/20/15,Shoreside,C,0,0
BKCR,Blue King Crab,HAL,519,Pacific Cod,7/4/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,519,Pacific Cod,7/25/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,519,Pacific Cod,8/1/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,519,Pacific Cod,9/19/15,Catcher Processor,C,1,0.012810379132703442
BKCR,Blue King Crab,HAL,519,Pacific Cod,10/3/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,519,Pacific Cod,10/10/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,519,Pacific Cod,10/24/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,519,Pacific Cod,10/31/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,519,Pacific Cod,11/7/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,519,Pacific Cod,11/14/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,519,Pacific Cod,11/21/15,Shoreside,C,0,0
BKCR,Blue King Crab,HAL,519,Pacific Cod,11/21/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,519,Pacific Cod,11/28/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,519,Pacific Cod,11/28/15,Shoreside,C,0,0
BKCR,Blue King Crab,HAL,519,Pacific Cod,12/5/15,Shoreside,C,0,0
BKCR,Blue King Crab,HAL,519,Pacific Cod,12/5/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,519,Pacific Cod,12/12/15,Shoreside,C,0,0
BKCR,Blue King Crab,HAL,519,Pacific Cod,12/12/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,519,Pacific Cod,12/19/15,Shoreside,C,0,0
BKCR,Blue King Crab,HAL,519,Pacific Cod,12/19/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,519,Pacific Cod,12/26/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,519,Pacific Cod,12/31/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,519,Sablefish,5/9/15,Shoreside,C,0,0
BKCR,Blue King Crab,HAL,519,Sablefish,5/16/15,Shoreside,C,0,0
BKCR,Blue King Crab,HAL,519,Sablefish,5/16/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,519,Sablefish,5/30/15,Shoreside,C,0,0
BKCR,Blue King Crab,HAL,519,Sablefish,6/13/15,Shoreside,C,0,0
BKCR,Blue King Crab,HAL,519,Sablefish,8/1/15,Shoreside,C,0,0
BKCR,Blue King Crab,HAL,519,Sablefish,8/8/15,Shoreside,C,0,0
BKCR,Blue King Crab,HAL,519,Sablefish,8/22/15,Shoreside,C,0,0
BKCR,Blue King Crab,HAL,519,Sablefish,9/19/15,Shoreside,C,0,0
BKCR,Blue King Crab,HAL,519,Sablefish,9/26/15,Shoreside,C,0,0
BKCR,Blue King Crab,HAL,519,Sablefish,10/3/15,Shoreside,C,0,0
BKCR,Blue King Crab,HAL,519,Sablefish,10/17/15,Shoreside,C,0,0
BKCR,Blue King Crab,HAL,521,Bottom Pollock,8/15/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,521,Greenland Turbot,6/20/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,521,Greenland Turbot,6/27/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,521,Greenland Turbot,7/4/15,Catcher Processor,123.494,0,0
BKCR,Blue King Crab,HAL,521,Greenland Turbot,7/11/15,Catcher Processor,94.156,0,0
BKCR,Blue King Crab,HAL,521,Greenland Turbot,7/18/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,521,Greenland Turbot,7/25/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,521,Greenland Turbot,8/1/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,521,Greenland Turbot,8/8/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,521,Greenland Turbot,8/15/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,521,Greenland Turbot,8/22/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,521,Greenland Turbot,8/29/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,521,Greenland Turbot,9/5/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,521,Greenland Turbot,9/12/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,521,Greenland Turbot,9/19/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,521,Greenland Turbot,9/26/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,521,Greenland Turbot,10/3/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,521,Pacific Cod,1/3/15,Catcher Processor,412.661,0,0
